id;ex1;ex2;ex3;ex4;ex5
1;7.344094;23.45302;18.6929;15.50949;14.38279;
2;4.115932;7.466178;9.184412;4.397412;7.524863;
3;4.886438;6.095446;11.64635;4.027603;9.782352;
4;6.890764;7.988678;8.769996;11.84731;19.69766;
5;6.458596;10.80876;13.69327;8.657323;25.39301;
6;2.916899;8.867107;10.85073;9.531551;9.605178;
7;4.334829;10.218;8.501442;7.59593;8.290502;
8;7.572882;13.51564;14.07774;6.770884;23.29749;
9;3.666257;7.095803;9.606894;15.13877;11.60375;
10;2.831561;7.864754;7.695708;5.349792;16.43104;
11;6.249162;10.48197;9.016964;5.751864;7.041094;
12;5.616513;11.30378;10.99185;5.398983;27.32302;
13;6.549186;10.16305;9.791877;4.787971;11.94305;
14;4.731681;7.801804;11.02874;2.130456;12.3365;
15;3.287263;10.68816;19.76968;5.191243;16.40324;
16;8.041478;7.061112;9.561478;9.483858;15.54063;
17;4.197358;6.967643;12.41939;4.76426;10.74703;
18;6.813196;11.29246;9.436719;5.576268;11.36482;
