id;upperTry1;upperTry2;upperTry3;upperVideo;foreTry1;foreTry2;foreTry3;foreVideo
1;0.2235412;0.1718716;0.07020377;0.2443977;0.3649505;0.3173349;0.1641713;0.1896563;
2;0.1243378;0.0141992;0.01565281;0.05642661;0.2462562;0.070247;0.07223894;0.08093394;
3;0.0177586;0.05712691;0.02112596;0.1400739;0.1152728;0.2106855;0.07430799;0.1044274;
4;0.6512454;0.5357133;0.1151686;0.216662;0.7992827;0.566339;0.2682959;0.1411644;
5;0.6624141;0.4950288;0.1550296;0.1972063;0.6160758;0.5612506;0.2444123;0.1843162;
6;0.02165262;0.01888015;0.0265079;0.1078092;0.09778582;0.09799654;0.1129617;0.1050109;
7;0.1116823;0.1339517;0.01192913;0.2057341;0.2932633;0.2350224;0.08177604;0.1763075;
8;0.5507829;0.4495883;0.04819551;0.2270966;0.780975;0.6642065;0.2695132;0.1196928;
9;0.3520728;0.01781734;0.0183895;0.1152798;0.5093626;0.06343299;0.06089316;0.09160694;
10;0.1760933;0.02630441;0.0216631;0.1535183;0.2779143;0.09338085;0.08191412;0.08451523;
11;0.07959187;0.01006083;0.01775276;0.172863;0.1505282;0.08124298;0.08627081;0.1544801;
12;0.02899106;0.2120788;0.01631538;0.1577497;0.06317335;0.3176266;0.04057251;0.1479538;
13;0.1323091;0.01946299;0.04939521;0.08488656;0.2820715;0.0516509;0.0751026;0.1146758;
14;0.03580502;0.01917725;0.02277242;0.1150123;0.1097948;0.08054756;0.06438288;0.08945638;
15;0.2244776;0.02626896;0.01958458;0.1703618;0.4361188;0.1953239;0.1806132;0.07628994;
16;0.1217027;0.1861323;0.3913465;0.1605012;0.2357802;0.353484;0.4255144;0.2061079;
17;0.2257322;0.1090493;0.01717454;0.1243487;0.4765355;0.3202029;0.163948;0.07963254;
18;0.1792859;0.0216902;0.01939286;0.06150907;0.2931336;0.06114748;0.06890652;0.06106823;
