upperArm

id;ex1_try1;ex1_try2;ex1_try3;ex2_try1;ex2_try2;ex2_try3;ex3_try1;ex3_try2;ex3_try3;ex4_try1;ex4_try2;ex4_try3;ex5_try1;ex5_try2;ex5_try3
1;5.244627;5.982488;10.80517;39.82682;21.81916;8.71309;18.89748;26.40273;10.77848;15.21448;11.06717;20.24682;15.02153;14.38284;13.74399;
2;4.854082;3.795236;3.698476;6.254474;7.653832;8.490229;10.00918;8.983233;8.56082;3.876555;3.954602;5.361079;7.605688;7.086575;7.882326;
3;7.910098;3.816688;2.932527;7.56398;6.61101;4.11135;14.98321;10.81347;9.142363;4.471034;3.90297;3.708805;7.226828;11.35826;10.76197;
4;14.17755;3.792664;2.702082;5.022662;12.35834;6.585029;8.946569;8.227593;9.135823;15.96781;8.629151;10.94496;40.70706;11.57739;6.808524;
5;10.47318;3.470606;5.432004;15.77959;11.20075;5.445938;20.2757;11.13614;9.667967;15.96312;5.176669;4.832184;22.51063;14.14988;39.51852;
6;2.90093;2.379713;3.470053;9.715858;10.62158;6.263886;14.77792;9.142232;8.632031;10.10959;9.204;9.281063;8.751134;9.670804;10.39359;
7;5.874758;3.565949;3.563781;7.327032;14.2412;9.085779;10.25102;8.736889;6.516418;9.239411;11.27472;2.273657;11.38828;6.281797;7.201423;
8;5.181651;9.384265;8.152732;27.78654;8.603636;4.156754;11.10307;21.00617;10.12399;9.442424;5.579365;5.290861;30.63484;24.99572;14.2619;
9;4.785116;2.5884;3.625256;7.903862;7.842674;5.540873;11.62613;8.163512;9.03104;4.818892;37.01438;3.58305;16.70752;8.325021;9.778723;
10;2.669139;3.043705;2.781839;7.999453;6.465909;9.1289;7.43616;6.540277;9.110686;5.004099;6.120602;4.924676;30.15798;11.35176;7.783391;
11;8.102552;6.023846;4.621088;7.660812;8.460402;15.32471;10.95328;10.24758;5.850025;5.106624;4.724869;7.4241;8.343301;3.886868;8.893114;
12;7.964952;4.861135;4.023452;16.9486;10.89452;6.068214;10.58865;12.10027;10.28662;6.51836;6.591962;3.086626;15.57387;59.75342;6.641764;
13;8.287956;5.808125;5.551477;8.697618;10.61118;11.18037;11.14869;10.49256;7.73438;5.476795;5.384087;3.503033;17.09179;7.826032;10.91134;
14;5.55304;4.125719;4.516284;10.52757;7.101863;5.775984;10.15857;13.68705;9.240622;2.204193;1.53862;2.648556;15.1068;10.29347;11.60922;
15;3.461091;3.720602;2.680095;4.98987;17.01568;10.05893;34.45111;12.57016;12.28777;7.007051;5.781445;2.785233;31.66656;8.130324;9.412827;
16;12.85894;5.66025;5.605242;7.353;6.735371;7.094965;9.677593;10.95342;8.053421;18.26132;4.860116;5.330137;19.49899;13.70482;13.4181;
17;4.468301;4.331868;3.791903;8.073343;5.99843;6.831155;15.60518;12.66509;8.987893;5.877159;5.567183;2.848439;13.23273;11.80673;7.201636;
18;8.38625;6.580689;5.47265;13.76328;12.40252;7.711594;8.923838;10.2314;9.154918;10.16955;2.946489;3.612767;13.45718;12.18515;8.452142;
foreArm

