id;ex1;ex2;ex3;ex4;ex5
1;166.1968;97.28951;91.58791;63.4557;64.40438;
2;265.1775;41.16569;191.1345;17.59627;24.07238;
3;103.7763;41.20498;65.19897;49.3395;71.45309;
4;86.4013;28.45785;80.58796;25.6925;75.53587;
5;71.09291;56.8965;44.21651;68.44926;76.98724;
6;93.10394;104.4917;39.75774;70.92238;55.57098;
7;141.8082;42.11741;54.69518;51.65562;68.86027;
8;148.6565;93.93906;113.7696;107.4301;59.422;
9;109.8051;61.55143;24.82222;24.39248;41.74474;
10;100.4137;103.0833;43.56993;43.73082;28.24169;
11;117.4484;49.76839;40.9371;51.69592;75.85769;
12;95.3746;52.93087;29.00054;21.31815;34.62254;
13;48.16973;29.67092;80.81692;40.15768;48.42891;
14;67.93868;60.83023;40.47402;53.40872;41.15546;
15;95.71387;76.54932;54.50418;69.73633;71.65701;
16;127.2023;75.21217;79.851;43.49746;72.17569;
17;175.4689;94.45255;57.78137;93.40679;43.65112;
18;53.2569;18.38555;61.12508;44.57775;25.14096;
